# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acredite se quiser grupo ligado a lula e ao pt conseguiu sumir com dois navios sonda a relacao entre schahin e lula o representante da receita federal roberto leonel revelou na coletiva de imprensa que o grupo schahin conseguiu retirar sumir escafeder do brasil dois naviossonda operados pela petrobras e que estavam sob bloqueio judicial procuradoria da fazenda e receita federal determinaram o bloqueio de bens do grupo schahin inclusive os dois navios sonda avaliados em us 200 milhoes cada leonel disse que um grupo de advogados representando as offshores da schahin ingressaram com acao na justica de sao paulo pedindo a reintegracao de posse dos navios sertao e cerrado e impressionante mas mesmo sem autorizacao legal eles conseguiram retirar os navios do pais alem disso eles desligaram os transponders das sondas para impedir a localizacao via estadao na ultima segunda 15 o ministerio publico federal denunciou 11 pessoas por envolvimento no esquema de corrupcao da petrobras entre os acusados estao o pecuarista e amigo do expresidente lula jose carlos bumlai e joao vaccari neto extesoureiro do pt o grupo e suspeito de participar de um esquema de propinas na contratacao da schahin engenharia em 2009 como operadora do naviosonda vitoria 10000 como as investigacoes indicam um desvio de r 18 milhoes pelo grupo para abastecer os cofres do partido dos trabalhadores bumlai esta preso em curitiba desde 24 de novembro o procurador da republica deltan dallagnol coordenador da forca tarefa da lavajato afirmou que bumlai nao e o centro da investigacao bumlai nada mais e do que operador de um partido politico ele e operador do partido dos trabalhadores disse entre os outros acusados estao o filho do pecuarista mauricio de barros bumlai e sua nora cristiane barbosa dodero bumlai nestor cervero jorge zelada ambos exdiretores da aera internacional da petrobras o exgerente da estatal eduardo musa o lobista fernando baiano e os executivos do banco schahin salim schahin milton schahin e fernando schahin o pt por sua vez afirma desde o inicio das investigacoes que as doacoes recebidas pelo partido aconteceram estritamente dentro da legalidade e foram posteriormente declaradas a justica eleitoral
1	acredite	acreditar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	se	_	CCONJ	CONJ	_	3	mark	_	TokenRange=9:11
3	quiser	querer	VERB	VERB	_	1	ccomp	_	TokenRange=12:18
4	grupo	grupo	NOUN	NOUN	_	3	obj	_	TokenRange=19:24
5	ligado	ligado	ADJ	ADJ	_	4	amod	_	TokenRange=25:31
6	a	_	ADP	ADP	_	7	case	_	TokenRange=32:33
7	lula	lula	NOUN	NOUN	_	5	nmod	_	TokenRange=34:38
8	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=39:40
9-10	ao	_	_	_	_	_	_	_	TokenRange=41:43
9	a	a	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	pt	_	PROPN	NOUN	_	7	conj	_	TokenRange=44:46
12	conseguiu	conseguir	VERB	VERB	_	1	conj	_	TokenRange=47:56
13	sumir	sumir	VERB	VERB	_	12	xcomp	_	TokenRange=57:62
14	com	com	ADP	ADP	_	16	case	_	TokenRange=63:66
15	dois	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=67:71
16	navios	navio	NOUN	NOUN	_	13	nmod	_	TokenRange=72:78
17	sonda	sonda	NOUN	NOUN	_	16	amod	_	TokenRange=79:84
18	a	o	DET	DET	_	19	det	_	TokenRange=85:86
19	relacao	relacao	NOUN	NOUN	_	12	obj	_	TokenRange=87:94
20	entre	_	ADP	ADP	_	21	case	_	TokenRange=95:100
21	schahin	schahin	NOUN	NOUN	_	19	nmod	_	TokenRange=101:108
22	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=109:110
23	lula	lula	NOUN	NOUN	_	21	conj	_	TokenRange=111:115
24	o	o	DET	DET	_	25	det	_	TokenRange=116:117
25	representante	representante	NOUN	NOUN	_	32	nsubj	_	TokenRange=118:131
26-27	da	_	_	_	_	_	_	_	TokenRange=132:134
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	receita	receita	NOUN	NOUN	_	25	nmod	_	TokenRange=135:142
29	federal	federal	ADJ	ADJ	_	28	amod	_	TokenRange=143:150
30	roberto	roberto	NOUN	NOUN	_	25	appos	_	TokenRange=151:158
31	leonel	leonel	NOUN	NOUN	_	30	flat	_	TokenRange=159:165
32	revelou	revelar	VERB	VERB	_	1	parataxis	_	TokenRange=166:173
33-34	na	_	_	_	_	_	_	_	TokenRange=174:176
33	em	em	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	coletiva	coletiva	NOUN	NOUN	_	32	nmod	_	TokenRange=177:185
36	de	de	ADP	ADP	_	37	case	_	TokenRange=186:188
37	imprensa	imprensa	NOUN	NOUN	_	35	nmod	_	TokenRange=189:197
38	que	que	CCONJ	CONJ	_	42	mark	_	TokenRange=198:201
39	o	o	DET	DET	_	40	det	_	TokenRange=202:203
40	grupo	grupo	NOUN	NOUN	_	42	nsubj	_	TokenRange=204:209
41	schahin	_	NOUN	NOUN	_	40	appos	_	TokenRange=210:217
42	conseguiu	conseguir	VERB	VERB	_	32	ccomp	_	TokenRange=218:227
43	retirar	retirar	VERB	VERB	_	42	xcomp	_	TokenRange=228:235
44	sumir	sumir	VERB	VERB	_	43	xcomp	_	TokenRange=236:241
45	escafeder	escafeder	VERB	VERB	_	43	xcomp	_	TokenRange=242:251
46-47	do	_	_	_	_	_	_	_	TokenRange=252:254
46	de	de	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
