# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vermelhou janot manda destruir provas que poderiam colocar lula na cadeia o procurador geral da republica rodrigo janot vai destruir provas que colocariam lula na cadeia ontem 24 o pgr anunciou que ira devolver aos advogados de leo pinheiro expresidente da oas os anexos originais entregues aos procuradores e mandara dar fim aos papeis usados nos acordos de delacao do empreiteiro informou a coluna radar a decisao foi tomada apos um suposto vazamento da delacao de pinheiro que envolveu o nome de um ministro da alta corte janot nega que houve vazamento ja a revista veja confirma que o nome de dias toffoli foi citado nas delacoes a veja disse a veja mantem tudo o que foi publicado na edicao que esta nas bancas a reportagem teve acesso ao anexo da delacao em que leo pinheiro mencionou o nome de dias toffoli a expressao ter acesso significa que os reporteres de veja viram e leram o anexo e apuraram que os termos do anexo estavam em discussao na proposta de delacao de leo pinheiro o pgr vai destruir provas que colocariam lula na cadeia supostas provas contra o ministro supremo tambem serao destruidas
1	vermelhou	vermelhar	VERB	VERB	_	3	csubj	_	TokenRange=0:9
2	janot	_	NOUN	NOUN	_	1	obj	_	TokenRange=10:15
3	manda	mandar	VERB	VERB	_	0	root	_	TokenRange=16:21
4	destruir	destruir	VERB	VERB	_	3	xcomp	_	TokenRange=22:30
5	provas	prova	NOUN	NOUN	_	4	obj	_	TokenRange=31:37
6	que	_	PRON	PRON	_	8	nsubj	_	TokenRange=38:41
7	poderiam	poder	AUX	AUX	_	8	aux	_	TokenRange=42:50
8	colocar	colocar	VERB	VERB	_	5	acl:relcl	_	TokenRange=51:58
9	lula	_	NOUN	NOUN	_	8	obj	_	TokenRange=59:63
10-11	na	_	_	_	_	_	_	_	TokenRange=64:66
10	em	em	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	cadeia	cadeia	NOUN	NOUN	_	8	nmod	_	TokenRange=67:73
13	o	o	DET	DET	_	14	det	_	TokenRange=74:75
14	procurador	procurador	NOUN	NOUN	_	22	nsubj	_	TokenRange=76:86
15	geral	geral	ADJ	ADJ	_	14	amod	_	TokenRange=87:92
16-17	da	_	_	_	_	_	_	_	TokenRange=93:95
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	republica	_	NOUN	NOUN	_	14	nmod	_	TokenRange=96:105
19	rodrigo	rodrigo	ADJ	ADJ	_	14	appos	_	TokenRange=106:113
20	janot	_	NOUN	NOUN	_	19	flat	_	TokenRange=114:119
21	vai	ir	AUX	AUX	_	22	aux	_	TokenRange=120:123
22	destruir	destruir	VERB	VERB	_	3	parataxis	_	TokenRange=124:132
23	provas	prova	NOUN	NOUN	_	22	obj	_	TokenRange=133:139
24	que	_	PRON	PRON	_	25	nsubj	_	TokenRange=140:143
25	colocariam	colocar	VERB	VERB	_	127	acl:relcl	_	TokenRange=144:154
26	lula	lula	NOUN	NOUN	_	25	obj	_	TokenRange=155:159
27-28	na	_	_	_	_	_	_	_	TokenRange=160:162
27	em	em	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	cadeia	cadeia	NOUN	NOUN	_	25	nmod	_	TokenRange=163:169
30	ontem	ontem	ADV	ADV	_	22	advmod	_	TokenRange=170:175
31	24	_	NUM	NUM	NumType=Card	30	nmod	_	TokenRange=176:178
32	o	o	DET	DET	_	33	det	_	TokenRange=179:180
33	pgr	_	NOUN	NOUN	_	34	nsubj	_	TokenRange=181:184
34	anunciou	anunciar	VERB	VERB	_	22	parataxis	_	TokenRange=185:193
35	que	que	CCONJ	CONJ	_	37	mark	_	TokenRange=194:197
36	ira	_	AUX	AUX	_	37	aux	_	TokenRange=198:201
37	devolver	devolver	VERB	VERB	_	34	ccomp	_	TokenRange=202:210
38-39	aos	_	_	_	_	_	_	_	TokenRange=211:214
38	a	a	ADP	ADP	_	40	case	_	_
39	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	40	det	_	_
40	advogados	advogado	NOUN	NOUN	_	37	iobj	_	TokenRange=215:224
41	de	de	ADP	ADP	_	42	case	_	TokenRange=225:227
42	leo	leo	NOUN	NOUN	_	40	nmod	_	TokenRange=228:231
43	pinheiro	pinheiro	NOUN	NOUN	_	42	flat	_	TokenRange=232:240
44	expresidente	expresidente	NOUN	NOUN	_	145	appos	_	TokenRange=241:253
45-46	da	_	_	_	_	_	_	_	TokenRange=254:256
45	de	de	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	oas	_	PROPN	PNOUN	_	44	nmod	_	TokenRange=257:260
48	os	o	DET	DET	_	49	det	_	TokenRange=261:263
49	anexos	anexo	NOUN	NOUN	_	37	obj	_	TokenRange=264:270
50	originais	original	ADJ	ADJ	_	49	amod	_	TokenRange=271:280
51	entregues	entregar	VERB	VERB	_	49	acl	_	TokenRange=281:290
52-53	aos	_	_	_	_	_	_	_	TokenRange=291:294
52	a	a	ADP	ADP	_	54	case	_	_
53	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	54	det	_	_
54	procuradores	procurador	NOUN	NOUN	_	51	iobj	_	TokenRange=295:307
55	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=308:309
56	mandara	mandar	VERB	VERB	_	37	conj	_	TokenRange=310:317
57	dar	dar	VERB	VERB	_	56	xcomp	_	TokenRange=318:321
58	fim	fim	NOUN	NOUN	_	57	obj	_	TokenRange=322:325
59-60	aos	_	_	_	_	_	_	_	TokenRange=326:329
59	a	a	ADP	ADP	_	61	case	_	_
60	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
61	papeis	papei	NOUN	NOUN	_	57	iobj	_	TokenRange=330:336
62	usados	usar	VERB	VERB	_	61	acl	_	TokenRange=337:343
63-64	nos	_	_	_	_	_	_	_	TokenRange=344:347
63	em	em	ADP	ADP	_	65	case	_	_
64	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	65	det	_	_
65	acordos	acordo	NOUN	NOUN	_	62	nmod	_	TokenRange=348:355
66	de	de	ADP	ADP	_	67	case	_	TokenRange=356:358
67	delacao	delacao	NOUN	NOUN	_	65	nmod	_	TokenRange=359:366
68-69	do	_	_	_	_	_	_	_	TokenRange=367:369
68	de	de	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	empreiteiro	empreiteiro	NOUN	NOUN	_	65	nmod	_	TokenRange=370:381
71	informou	informar	VERB	VERB	_	163	parataxis	_	TokenRange=382:390
72	a	o	DET	DET	_	73	det	_	TokenRange=391:392
73	coluna	coluna	NOUN	NOUN	_	71	obj	_	TokenRange=393:399
