# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos 43 anos exestagiaria da casa branca diz que se arrepende da relacao com bill clinton monica lewinsky exestagiaria da casa branca disse se arrepende de ter se envolvido com o expresidente bill clinton declaracao da moca apaixonei pelo meu chefe e descobri que as consequencias foram devastadoras me arrependo profundamente eu tinha apenas 22 anos disse monica em uma palestra na australia atualmente ela reside em londres onde fez mestrado em psicologia social no principio ambos negaram qualquer relacao o caso ficou conhecido na epoca como o escandalo lewinsky a secretaria da casa branca linda tripp comecou a gravar secretamente as conversas da estagiaria com o presidente clinton e soltou a bomba na imprensa tempos depois ela admitiu que seu affair com clinton incluiu relacoes orais no salao oval da casa branca clinton negou sob juramento que tinha mantido um caso com monica em cadeia nacional ele declarou eu nao tive relacoes com esta mulher a senhorita lewinsky
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
1	a	a	ADP	ADP	_	4	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	4	det	_	_
3	43	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=4:6
4	anos	ano	NOUN	NOUN	_	10	nmod	_	TokenRange=7:11
5	exestagiaria	exestagiaria	NOUN	NOUN	_	10	nsubj	_	TokenRange=12:24
6-7	da	_	_	_	_	_	_	_	TokenRange=25:27
6	de	de	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	casa	casa	NOUN	NOUN	_	5	nmod	_	TokenRange=28:32
9	branca	branco	ADJ	ADJ	_	8	amod	_	TokenRange=33:39
10	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=40:43
11	que	que	CCONJ	CONJ	_	13	mark	_	TokenRange=44:47
12	se	_	PRON	PRON	_	13	expl:pv	_	TokenRange=48:50
13	arrepende	arrepender	VERB	VERB	_	10	ccomp	_	TokenRange=51:60
14-15	da	_	_	_	_	_	_	_	TokenRange=61:63
14	de	de	ADP	ADP	_	16	case	_	_
