# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = encontraram uma planilha da odebrecht com pagamentos diretos para lula o mentiroso vai ser preso o antagonista informou que lula tinha uma conta corrente no setor de operacoes estruturadas de propinas da odebrecht vamos repetir com letras maiusculas e em negrito lula a alma mais honesta deste pais tinha uma conta corrente no setor de operacoes estruturadas da odebrecht de acordo com informacoes ha uma planilha com todos os pagamentos feitos pela empreiteira a lula a tal planilha segundo o antagonista se chama amigo lula vai ser preso e vai ser ainda essa semana
1	encontraram	encontrar	VERB	VERB	_	0	root	_	TokenRange=0:11
2	uma	um	DET	DET	_	3	det	_	TokenRange=12:15
3	planilha	planilha	NOUN	NOUN	_	1	obj	_	TokenRange=16:24
4-5	da	_	_	_	_	_	_	_	TokenRange=25:27
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	odebrecht	_	NOUN	NOUN	_	3	nmod	_	TokenRange=28:37
7	com	com	ADP	ADP	_	8	case	_	TokenRange=38:41
8	pagamentos	pagamento	NOUN	NOUN	_	3	nmod	_	TokenRange=42:52
9	diretos	direto	ADJ	ADJ	_	8	amod	_	TokenRange=53:60
10	para	para	ADP	ADP	_	11	case	_	TokenRange=61:65
11	lula	lula	NOUN	NOUN	_	8	nmod	_	TokenRange=66:70
12	o	o	DET	DET	_	13	det	_	TokenRange=71:72
13	mentiroso	mentiroso	NOUN	NOUN	_	16	nsubj:pass	_	TokenRange=73:82
14	vai	ir	AUX	AUX	_	16	aux	_	TokenRange=83:86
15	ser	ser	AUX	AUX	_	16	aux:pass	_	TokenRange=87:90
16	preso	_	VERB	VERB	_	1	parataxis	_	TokenRange=91:96
17	o	o	DET	DET	_	18	det	_	TokenRange=97:98
18	antagonista	antagonista	NOUN	NOUN	_	16	nsubj:pass	_	TokenRange=99:110
19	informou	informar	VERB	VERB	_	1	parataxis	_	TokenRange=111:119
20	que	que	CCONJ	CONJ	_	22	mark	_	TokenRange=120:123
21	lula	_	NOUN	NOUN	_	22	nsubj	_	TokenRange=124:128
22	tinha	ter	VERB	VERB	_	19	ccomp	_	TokenRange=129:134
23	uma	um	DET	DET	_	24	det	_	TokenRange=135:138
24	conta	conta	NOUN	NOUN	_	22	obj	_	TokenRange=139:144
25	corrente	corrente	ADJ	ADJ	_	24	amod	_	TokenRange=145:153
26-27	no	_	_	_	_	_	_	_	TokenRange=154:156
