# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = comecou a baderna apoiadores de lula sao pegos com facoes e foices em curitiba bolivianos invadindo o brasil para protestar durante uma entrevista coletiva em curitiba o secretario estadual de seguranca publica do parana relatou que a pm apreendeu armas brancas facas e foices em um dos onibus que seguia para a capital paranaense wagner mesquita disse sao materiais que nao combinam com uma manifestacao democratica vamos fiscalizar tudo e todos nao abriremos mao dessa prerrogativa ja passou da hora da policia sentar a borracha nesse bando de desocupados um trabalhador honesto que luta para sustentar sua familia jamais deixaria seu emprego para ficar andando atras de politico envolvido em escandalo de corrupcao o pt nao faz manifestacao democratica e sim terrorismo neste exato momento 1600 hs a pf com sua tropa de choque esta se deslocando para o local onde a turma vermelha esta acampada o lugar e conhecido como boca maldita a informacao e de bernardo barbosa do uol / curitiba no video abaixo postado nas redes sociais pelo deputado e exdelegado da pf fernando francischini um morador do parana flagrou alguns onibus vindos da bolivia indo para curitiba protestar a favor de lula
1	comecou	comecar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	a	_	ADP	DET	_	3	case	_	TokenRange=8:9
3	baderna	baderna	NOUN	NOUN	_	1	nsubj	_	TokenRange=10:17
4	apoiadores	_	NOUN	NOUN	_	1	nsubj	_	TokenRange=18:28
5	de	de	ADP	ADP	_	6	case	_	TokenRange=29:31
6	lula	lula	NOUN	NOUN	_	4	nmod	_	TokenRange=32:36
7	sao	_	AUX	AUX	_	8	cop	_	TokenRange=37:40
8	pegos	pego	NOUN	NOUN	_	4	appos	_	TokenRange=41:46
9	com	com	ADP	ADP	_	10	case	_	TokenRange=47:50
10	facoes	facoe	NOUN	NOUN	_	8	nmod	_	TokenRange=51:57
11	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=58:59
12	foices	foice	NOUN	NOUN	_	10	conj	_	TokenRange=60:66
13	em	em	ADP	ADP	_	14	case	_	TokenRange=67:69
14	curitiba	curitiba	NOUN	NOUN	_	12	nmod	_	TokenRange=70:78
15	bolivianos	boliviano	ADJ	ADJ	_	14	amod	_	TokenRange=79:89
16	invadindo	invadir	VERB	VERB	_	4	acl	_	TokenRange=90:99
17	o	o	DET	DET	_	18	det	_	TokenRange=100:101
18	brasil	brasil	NOUN	NOUN	_	16	obj	_	TokenRange=102:108
19	para	_	ADP	ADP	_	20	mark	_	TokenRange=109:113
20	protestar	protestar	VERB	VERB	_	16	advcl	_	TokenRange=114:123
21	durante	_	ADP	ADP	_	23	case	_	TokenRange=124:131
22	uma	um	DET	DET	_	23	det	_	TokenRange=132:135
23	entrevista	entrevista	NOUN	NOUN	_	20	nmod	_	TokenRange=136:146
24	coletiva	coletivo	ADJ	ADJ	_	23	amod	_	TokenRange=147:155
25	em	em	ADP	ADP	_	26	case	_	TokenRange=156:158
26	curitiba	curitiba	NOUN	NOUN	_	23	nmod	_	TokenRange=159:167
27	o	o	DET	DET	_	28	det	_	TokenRange=168:169
28	secretario	secretario	NOUN	NOUN	_	36	nsubj	_	TokenRange=170:180
29	estadual	estadual	ADJ	ADJ	_	28	amod	_	TokenRange=181:189
30	de	de	ADP	ADP	_	31	case	_	TokenRange=190:192
31	seguranca	_	NOUN	NOUN	_	28	nmod	_	TokenRange=193:202
32	publica	publico	ADJ	ADJ	_	31	amod	_	TokenRange=203:210
33-34	do	_	_	_	_	_	_	_	TokenRange=211:213
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	parana	parana	NOUN	NOUN	_	28	nmod	_	TokenRange=214:220
36	relatou	relatar	VERB	VERB	_	1	parataxis	_	TokenRange=221:228
37	que	que	CCONJ	CONJ	_	40	mark	_	TokenRange=229:232
38	a	o	DET	DET	_	39	det	_	TokenRange=233:234
39	pm	_	NOUN	NOUN	_	40	nsubj	_	TokenRange=235:237
40	apreendeu	apreender	VERB	VERB	_	36	ccomp	_	TokenRange=238:247
41	armas	arma	NOUN	NOUN	_	40	obj	_	TokenRange=248:253
42	brancas	branco	ADJ	ADJ	_	41	amod	_	TokenRange=254:261
43	facas	faca	NOUN	NOUN	_	41	amod	_	TokenRange=262:267
44	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=268:269
45	foices	foice	NOUN	NOUN	_	40	conj	_	TokenRange=270:276
46	em	em	ADP	ADP	_	47	case	_	TokenRange=277:279
47	um	_	PRON	PRON	_	45	nmod	_	TokenRange=280:282
48-49	dos	_	_	_	_	_	_	_	TokenRange=283:286
48	de	de	ADP	ADP	_	50	case	_	_
49	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	50	det	_	_
50	onibus	onibu	NOUN	NOUN	_	47	nmod	_	TokenRange=287:293
51	que	_	PRON	PRON	_	52	nsubj	_	TokenRange=294:297
52	seguia	seguir	VERB	VERB	_	50	acl:relcl	_	TokenRange=298:304
53	para	para	ADP	ADP	_	55	case	_	TokenRange=305:309
