# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = caiu a mascara numero de desempregados no pais e recorde e atinge 23 milhoes de pessoas com o pt chutado para fora da presidencia o ibge esta repensando a logica do levantamento do desemprego no pais durante os ultimos anos os numeros foram mascarados e o governo dilma usou a maquina de marketing governamental para esconder os dados reais da crise no pais os numeros divulgados ontem pelo ibge assustam sao 22 7 milhoes de pessoas em idade produtiva que estao sem trabalho ou trabalham menos do que poderiam confira na materia da record
1	caiu	cair	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	mascara	mascar	NOUN	NOUN	_	1	nsubj	_	TokenRange=7:14
4	numero	numero	NOUN	NOUN	_	3	appos	_	TokenRange=15:21
5	de	de	ADP	ADP	_	6	case	_	TokenRange=22:24
6	desempregados	desempregado	NOUN	NOUN	_	4	nmod	_	TokenRange=25:38
7-8	no	_	_	_	_	_	_	_	TokenRange=39:41
7	em	em	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	pais	_	NOUN	NOUN	_	4	nmod	_	TokenRange=42:46
10	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=47:48
11	recorde	recorde	NOUN	NOUN	_	4	conj	_	TokenRange=49:56
12	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=57:58
13	atinge	atingir	VERB	VERB	_	1	conj	_	TokenRange=59:65
14	23	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=66:68
15	milhoes	_	NUM	NUM	NumType=Card	17	nummod	_	TokenRange=69:76
16	de	de	ADP	ADP	_	17	case	_	TokenRange=77:79
17	pessoas	pessoa	NOUN	NOUN	_	13	obj	_	TokenRange=80:87
18	com	com	ADP	ADP	_	20	case	_	TokenRange=88:91
19	o	o	DET	DET	_	20	det	_	TokenRange=92:93
20	pt	_	NOUN	NOUN	_	13	nmod	_	TokenRange=94:96
21	chutado	chutar	VERB	VERB	_	20	acl	_	TokenRange=97:104
22	para	_	ADP	ADP	_	23	mark	_	TokenRange=105:109
23	fora	fora	ADV	ADV	_	21	nmod	_	TokenRange=110:114
24-25	da	_	_	_	_	_	_	_	TokenRange=115:117
24	de	de	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	presidencia	presidencia	NOUN	NOUN	_	23	nmod	_	TokenRange=118:129
27	o	o	DET	DET	_	28	det	_	TokenRange=130:131
28	ibge	ibge	NOUN	NOUN	_	30	nsubj	_	TokenRange=132:136
29	esta	_	AUX	AUX	_	30	aux	_	TokenRange=137:141
30	repensando	repensar	VERB	VERB	_	13	parataxis	_	TokenRange=142:152
31	a	o	DET	DET	_	32	det	_	TokenRange=153:154
32	logica	_	NOUN	NOUN	_	30	obj	_	TokenRange=155:161
33-34	do	_	_	_	_	_	_	_	TokenRange=162:164
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	levantamento	levantamento	NOUN	NOUN	_	32	nmod	_	TokenRange=165:177
36-37	do	_	_	_	_	_	_	_	TokenRange=178:180
36	de	de	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	desemprego	desemprego	NOUN	NOUN	_	35	nmod	_	TokenRange=181:191
39-40	no	_	_	_	_	_	_	_	TokenRange=192:194
39	em	em	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	pais	_	NOUN	NOUN	_	35	nmod	_	TokenRange=195:199
42	durante	_	ADP	ADP	_	45	case	_	TokenRange=200:207
43	os	o	DET	DET	_	45	det	_	TokenRange=208:210
44	ultimos	ultimo	ADJ	ADJ	_	45	amod	_	TokenRange=211:218
45	anos	ano	NOUN	NOUN	_	30	nmod	_	TokenRange=219:223
46	os	o	DET	DET	_	47	det	_	TokenRange=224:226
47	numeros	numero	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=227:234
48	foram	_	AUX	AUX	_	49	aux:pass	_	TokenRange=235:240
49	mascarados	mascarar	VERB	VERB	_	1	parataxis	_	TokenRange=241:251
50	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=252:253
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	TokenRange=254:255
52	governo	governo	NOUN	NOUN	_	54	nsubj	_	TokenRange=256:263
53	dilma	dilma	ADJ	ADJ	_	52	amod	_	TokenRange=264:269
54	usou	usar	VERB	VERB	_	49	conj	_	TokenRange=270:274
55	a	o	DET	DET	_	56	det	_	TokenRange=275:276
56	maquina	maquina	NOUN	NOUN	_	54	obj	_	TokenRange=277:284
57	de	de	ADP	ADP	_	58	case	_	TokenRange=285:287
58	marketing	marketing	NOUN	NOUN	_	56	nmod	_	TokenRange=288:297
59	governamental	governamental	ADJ	ADJ	_	58	amod	_	TokenRange=298:311
60	para	_	ADP	ADP	_	61	mark	_	TokenRange=312:316
61	esconder	esconder	VERB	VERB	_	54	advcl	_	TokenRange=317:325
62	os	o	DET	DET	_	63	det	_	TokenRange=326:328
63	dados	dado	NOUN	NOUN	_	61	obj	_	TokenRange=329:334
64	reais	real	ADJ	ADJ	_	63	amod	_	TokenRange=335:340
65-66	da	_	_	_	_	_	_	_	TokenRange=341:343
65	de	de	ADP	ADP	_	67	case	_	_
66	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	67	det	_	_
67	crise	crise	NOUN	NOUN	_	63	nmod	_	TokenRange=344:349
68-69	no	_	_	_	_	_	_	_	TokenRange=350:352
68	em	em	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	pais	_	NOUN	NOUN	_	67	nmod	_	TokenRange=353:357
71	os	o	DET	DET	_	72	det	_	TokenRange=358:360
72	numeros	numero	NOUN	NOUN	_	54	nsubj	_	TokenRange=361:368
73	divulgados	divulgar	VERB	VERB	_	72	acl	_	TokenRange=369:379
74	ontem	ontem	ADV	ADV	_	73	advmod	_	TokenRange=380:385
75-76	pelo	_	_	_	_	_	_	_	TokenRange=386:390
75	por	por	ADP	ADP	_	77	case	_	_
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	_
77	ibge	ibge	NOUN	NOUN	_	73	nmod	_	TokenRange=391:395
78	assustam	assustar	VERB	VERB	_	73	parataxis	_	TokenRange=396:404
79	sao	_	VERB	VERB	_	78	ccomp	_	TokenRange=405:408
80	22	_	NUM	NUM	NumType=Card	82	nummod	_	TokenRange=409:411
81	7	_	NUM	NUM	NumType=Card	82	nummod	_	TokenRange=412:413
82	milhoes	_	NUM	NUM	NumType=Card	84	nummod	_	TokenRange=414:421
83	de	de	ADP	ADP	_	84	case	_	TokenRange=422:424
