# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja a lista dos 13 senadores que votaram contra a manutencao da prisao de delcidio amaral
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	lista	lista	NOUN	NOUN	_	1	obj	_	TokenRange=7:12
4-5	dos	_	_	_	_	_	_	_	TokenRange=13:16
4	de	de	ADP	ADP	_	7	case	_	_
5	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	7	det	_	_
6	13	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=17:19
7	senadores	senador	NOUN	NOUN	_	3	nmod	_	TokenRange=20:29
8	que	_	PRON	PRON	_	9	nsubj	_	TokenRange=30:33
9	votaram	votar	VERB	VERB	_	7	acl:relcl	_	TokenRange=34:41
10	contra	_	ADP	ADP	_	12	case	_	TokenRange=42:48
11	a	o	DET	DET	_	12	det	_	TokenRange=49:50
12	manutencao	manutencao	NOUN	NOUN	_	9	nmod	_	TokenRange=51:61
13-14	da	_	_	_	_	_	_	_	TokenRange=62:64
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	prisao	prisao	NOUN	NOUN	_	12	nmod	_	TokenRange=65:71
16	de	de	ADP	ADP	_	17	case	_	TokenRange=72:74
17	delcidio	delcidio	NOUN	NOUN	_	15	nmod	_	TokenRange=75:83
18	amaral	amaral	ADJ	ADJ	_	17	amod	_	SpacesAfter=\s\s|TokenRange=84:90

