# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aprendeu com o mestre lula sabatella saiu as ruas para provocar e depois bancar a vitima imagine so uma torcedora botafoguense passeando sem querer no meio da torcida do flamengo e gritando vai fogao entenderam a atriz leticia sabatella publicou em video em seu instagram dizendo que foi xingada por um grupo de manifestantes proimpeachment no centro de curitiba ontem 01 realmente a atriz foi foi xingada por uma mulher que a chamava de semvergonha e gritava chora petista um grupo de manifestantes e varios pms a protegeram na hora em que os animos estavam mais exaltados uma dessas pessoas exaltadas chegou a chamala de p voce e p coisa que nao de faz sabatella disse que nao foi ao protesto para se autopromover e que simplesmente passava pela praca pouco antes de comecar a manifestacao quando pasou para conversar com uma senhora ela disse preocupa esta falta de democracia no nosso brasil eles nao sabem o que fazem a atriz com cara de boazinha disse que estava simplesmente passando pelo local como assim ele estava com a cara pintada pessoas comuns costumam andar por ai com a cara pintada de verde e amarelo pelas imagens de um video publicado na internet da pra ver que ela nao estava somente passando pelo local ela foi ao local para provocar as pessoas coisa tipica de petista provoca e depois banca a vitima todas as pessoas tem o direito de ir e vir mas e ai que entra algo chamado bom senso o brasil tem mais de 10 milhoes de quilometros quadrados mas a petista quis exercer seu direito de ir e vir justamente nos quarteiroes onde as pessoas se manifestavam contra dilma imagine so uma torcedora botafoguense passeando sem querer no meio da torcida do flamengo e gritando vai fogao entenderam o video mostra a policia militar agindo com toda prudencia e paciencia pedindo gentilmente para a dignissima atriz petista deixar o local para proteger sua integridade o que ela fez se recusou a sair e ainda registrou um bo por injuria no 1 distrito da policia civil do parana de acordo com informacoes do g1 leia tambem tenho acompanhado a situacao do brasil atraves dos noticiarios mundiais e tenho plena confianca nas instituicoes brasileiras como o ministerio publico a policia federal e o poder judiciario
1	aprendeu	aprender	VERB	VERB	_	0	root	_	TokenRange=0:8
2	com	com	ADP	ADP	_	4	case	_	TokenRange=9:12
3	o	o	DET	DET	_	4	det	_	TokenRange=13:14
4	mestre	mestre	NOUN	NOUN	_	1	nmod	_	TokenRange=15:21
5	lula	lula	NOUN	NOUN	_	4	appos	_	TokenRange=22:26
6	sabatella	_	NOUN	NOUN	_	5	flat	_	TokenRange=27:36
7	saiu	sair	VERB	VERB	_	1	ccomp	_	TokenRange=37:41
8	as	o	DET	DET	_	9	det	_	TokenRange=42:44
9	ruas	rua	NOUN	NOUN	_	7	obj	_	TokenRange=45:49
10	para	_	ADP	ADP	_	11	mark	_	TokenRange=50:54
11	provocar	provocar	VERB	VERB	_	7	advcl	_	TokenRange=55:63
12	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=64:65
13	depois	depois	ADV	ADV	_	14	advmod	_	TokenRange=66:72
14	bancar	bancar	VERB	VERB	_	11	conj	_	TokenRange=73:79
15	a	o	DET	DET	_	16	det	_	TokenRange=80:81
16	vitima	_	NOUN	NOUN	_	14	obj	_	TokenRange=82:88
17	imagine	imagine	NOUN	NOUN	_	43	obj	_	TokenRange=89:96
18	so	_	ADV	ADV	_	20	advmod	_	TokenRange=97:99
19	uma	um	DET	DET	_	20	det	_	TokenRange=100:103
20	torcedora	torcedor	NOUN	NOUN	_	43	nsubj	_	TokenRange=104:113
21	botafoguense	botafoguense	ADJ	ADJ	_	20	amod	_	TokenRange=114:126
22	passeando	passear	VERB	VERB	_	20	acl	_	TokenRange=127:136
23	sem	_	ADP	ADP	_	24	mark	_	TokenRange=137:140
24	querer	querer	VERB	VERB	_	22	nmod	_	TokenRange=141:147
25-26	no	_	_	_	_	_	_	_	TokenRange=148:150
25	em	em	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	meio	meio	NOUN	NOUN	_	193	nmod	_	TokenRange=151:155
