# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assista o video do exato momento da invasao na camara a tv camara cortou a transmissao a camara realizava sessao nao deliberativa na tarde desta quartafeira quando manifestantes e segurancas entraram em confronto a porta principal de acesso ao plenario foi quebrada a tv camara suspendeu imediatamente a transmissao ao vivo do plenario da camara jornalistas foram retirados do local por questoes de seguranca o portal antagonista disse que conversou com o presidente rodrigo maia que confirmou o seguinte quem participou da baderna sera preso isso nao pode voltar a ocorrer serao fichados e responderao a processo video 2
1	assista	assistir	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	video	video	NOUN	NOUN	_	1	obj	_	TokenRange=10:15
4-5	do	_	_	_	_	_	_	_	TokenRange=16:18
4	de	de	ADP	ADP	_	7	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
6	exato	exato	ADJ	ADJ	_	7	amod	_	TokenRange=19:24
7	momento	momento	NOUN	NOUN	_	3	nmod	_	TokenRange=25:32
8-9	da	_	_	_	_	_	_	_	TokenRange=33:35
8	de	de	ADP	ADP	_	10	case	_	_
9	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	10	det	_	_
10	invasao	invasao	NOUN	NOUN	_	7	nmod	_	TokenRange=36:43
11-12	na	_	_	_	_	_	_	_	TokenRange=44:46
11	em	em	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	camara	camara	NOUN	NOUN	_	7	nmod	_	TokenRange=47:53
14	a	o	DET	DET	_	15	det	_	TokenRange=54:55
15	tv	tv	NOUN	NOUN	_	17	nsubj	_	TokenRange=56:58
16	camara	camara	NOUN	NOUN	_	15	flat	_	TokenRange=59:65
17	cortou	cortar	VERB	VERB	_	1	conj	_	TokenRange=66:72
18	a	o	DET	DET	_	19	det	_	TokenRange=73:74
19	transmissao	transmissao	NOUN	NOUN	_	17	obj	_	TokenRange=75:86
20	a	o	DET	DET	_	21	det	_	TokenRange=87:88
21	camara	camara	NOUN	NOUN	_	22	nsubj	_	TokenRange=89:95
22	realizava	realizar	VERB	VERB	_	17	conj	_	TokenRange=96:105
23	sessao	sessao	NOUN	NOUN	_	22	obj	_	TokenRange=106:112
24	nao	nao	ADV	ADV	Polarity=Neg	25	advmod	_	TokenRange=113:116
25	deliberativa	deliberativo	ADJ	ADJ	_	23	amod	_	TokenRange=117:129
26-27	na	_	_	_	_	_	_	_	TokenRange=130:132
26	em	em	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	tarde	tarde	NOUN	NOUN	_	22	nmod	_	TokenRange=133:138
29	desta	_	ADP	ADP	_	30	case	_	TokenRange=139:144
30	quartafeira	_	NOUN	NOUN	_	28	nmod	_	TokenRange=145:156
31	quando	_	CCONJ	CONJ	_	35	mark	_	TokenRange=157:163
32	manifestantes	manifestante	NOUN	NOUN	_	35	nsubj	_	TokenRange=164:177
33	e	e	CCONJ	CONJ	_	34	cc	_	TokenRange=178:179
34	segurancas	_	NOUN	NOUN	_	32	conj	_	TokenRange=180:190
35	entraram	entrar	VERB	VERB	_	22	advcl	_	TokenRange=191:199
36	em	em	ADP	ADP	_	37	case	_	TokenRange=200:202
37	confronto	confronto	NOUN	NOUN	_	35	nmod	_	TokenRange=203:212
38	a	o	DET	DET	_	39	det	_	TokenRange=213:214
39	porta	porta	NOUN	NOUN	_	35	nsubj	_	TokenRange=215:220
40	principal	principal	ADJ	ADJ	_	39	amod	_	TokenRange=221:230
41	de	de	ADP	ADP	_	42	case	_	TokenRange=231:233
42	acesso	acesso	NOUN	NOUN	_	39	nmod	_	TokenRange=234:240
43-44	ao	_	_	_	_	_	_	_	TokenRange=241:243
43	a	a	ADP	ADP	_	45	case	_	_
44	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	45	det	_	_
45	plenario	plenario	NOUN	NOUN	_	42	nmod	_	TokenRange=244:252
46	foi	_	AUX	AUX	_	47	aux:pass	_	TokenRange=253:256
47	quebrada	quebrar	VERB	VERB	_	35	parataxis	_	TokenRange=257:265
48	a	o	DET	DET	_	49	det	_	TokenRange=266:267
49	tv	tv	NOUN	NOUN	_	47	nsubj:pass	_	TokenRange=268:270
50	camara	camara	NOUN	NOUN	_	49	flat	_	TokenRange=271:277
51	suspendeu	suspender	VERB	VERB	_	47	conj	_	TokenRange=278:287
52	imediatamente	imediatamente	ADV	ADV	_	51	advmod	_	TokenRange=288:301
53	a	o	DET	DET	_	54	det	_	TokenRange=302:303
54	transmissao	transmissao	NOUN	NOUN	_	51	obj	_	TokenRange=304:315
55-56	ao	_	_	_	_	_	_	_	TokenRange=316:318
55	a	a	ADP	ADP	_	57	case	_	_
56	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	_
57	vivo	vivo	NOUN	NOUN	_	54	nmod	_	TokenRange=319:323
58-59	do	_	_	_	_	_	_	_	TokenRange=324:326
58	de	de	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	plenario	plenario	NOUN	NOUN	_	54	nmod	_	TokenRange=327:335
61-62	da	_	_	_	_	_	_	_	TokenRange=336:338
61	de	de	ADP	ADP	_	63	case	_	_
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
63	camara	camara	NOUN	NOUN	_	60	nmod	_	TokenRange=339:345
64	jornalistas	jornalista	ADJ	ADJ	_	66	nsubj:pass	_	TokenRange=346:357
65	foram	_	AUX	AUX	_	66	aux:pass	_	TokenRange=358:363
66	retirados	retirar	VERB	VERB	_	51	parataxis	_	TokenRange=364:373
67-68	do	_	_	_	_	_	_	_	TokenRange=374:376
67	de	de	ADP	ADP	_	69	case	_	_
68	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	69	det	_	_
69	local	local	NOUN	NOUN	_	66	nmod	_	TokenRange=377:382
70	por	por	ADP	ADP	_	71	case	_	TokenRange=383:386
71	questoes	questoe	NOUN	NOUN	_	66	nmod	_	TokenRange=387:395
72	de	de	ADP	ADP	_	73	case	_	TokenRange=396:398
73	seguranca	seguranca	NOUN	NOUN	_	71	nmod	_	TokenRange=399:408
74	o	o	DET	DET	_	75	det	_	TokenRange=409:410
75	portal	portal	NOUN	NOUN	_	77	nsubj	_	TokenRange=411:417
76	antagonista	antagonista	ADJ	ADJ	_	75	amod	_	TokenRange=418:429
77	disse	dizer	VERB	VERB	_	66	parataxis	_	TokenRange=430:435
78	que	que	CCONJ	CONJ	_	79	mark	_	TokenRange=436:439
79	conversou	conversar	VERB	VERB	_	77	ccomp	_	TokenRange=440:449
80	com	com	ADP	ADP	_	82	case	_	TokenRange=450:453
81	o	o	DET	DET	_	82	det	_	TokenRange=454:455
82	presidente	presidente	NOUN	NOUN	_	79	nmod	_	TokenRange=456:466
83	rodrigo	rodrigo	ADJ	ADJ	_	82	appos	_	TokenRange=467:474
84	maia	maia	NOUN	NOUN	_	83	flat	_	TokenRange=475:479
85	que	que	CCONJ	CONJ	_	86	mark	_	TokenRange=480:483
86	confirmou	confirmar	VERB	VERB	_	79	ccomp	_	TokenRange=484:493
87	o	o	DET	DET	_	88	det	_	TokenRange=494:495
88	seguinte	seguinte	NOUN	NOUN	_	86	obj	_	TokenRange=496:504
