# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dezenas de africanos invadem a fronteira da espanha um guarda tentou impedir o grupo e quebrou a perna
1	dezenas	dezena	NUM	NUM	NumType=Card	3	nummod	_	TokenRange=0:7
2	de	de	ADP	ADP	_	3	case	_	TokenRange=8:10
3	africanos	africano	NOUN	NOUN	_	4	nsubj	_	TokenRange=11:20
4	invadem	invadir	VERB	VERB	_	0	root	_	TokenRange=21:28
5	a	o	DET	DET	_	6	det	_	TokenRange=29:30
6	fronteira	_	NOUN	NOUN	_	4	obj	_	TokenRange=31:40
7-8	da	_	_	_	_	_	_	_	TokenRange=41:43
7	de	de	ADP	ADP	_	9	case	_	_
8	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
9	espanha	espanha	NOUN	NOUN	_	6	nmod	_	TokenRange=44:51
10	um	um	DET	DET	_	11	det	_	TokenRange=52:54
11	guarda	guarda	NOUN	NOUN	_	12	nsubj	_	TokenRange=55:61
12	tentou	tentar	VERB	VERB	_	4	parataxis	_	TokenRange=62:68
13	impedir	impedir	VERB	VERB	_	12	xcomp	_	TokenRange=69:76
14	o	o	DET	DET	_	15	det	_	TokenRange=77:78
15	grupo	grupo	NOUN	NOUN	_	13	obj	_	TokenRange=79:84
16	e	e	CCONJ	CONJ	_	17	cc	_	TokenRange=85:86
17	quebrou	quebrar	VERB	VERB	_	12	conj	_	TokenRange=87:94
18	a	o	DET	DET	_	19	det	_	TokenRange=95:96
19	perna	perna	NOUN	NOUN	_	17	obj	_	SpacesAfter=\s\s|TokenRange=97:102

