# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estou convencido de que ele me gravou disse gilmar mendes sobre joesley batista o ministro do stf disse a revista veja que esta quase certo de que joesley batista o gravou durante um encontro ocorrido em abril deste ano mendes recebeu o empresario na sede de seu instituto o idp na capital federal segundo ele desconfia a gravacao pode ter ocorrido porque joesley insistiu muito para ter uma conversa privada com o magistrado o encontro ocorreu 3 semanas depois que o sr friboi gravou a conversa com michel temer acho que ele gravou a conversa sim ele insistiu muito para marcar o encontro eles joesley batista e ricardo saud disseram que queriam destruir o supremo ne disse o ministro a revista mendes ainda destacou que a pauta do encontro foi um processo do agronegocio que seria julgado pelo stf ele confirmou que votou contra os interesses da jbs no tal processo foi um dialogo absolutamente normal nao me preocupo com isso encerrou gilmar o sr friboi disse hoje 11 a pf que possui diversos audios comprometedores que estao guardados nos eua e certo que ele ira usar essas armas para negociar seu bilhete de saida da prisao
1	estou	estar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	convencido	convencido	ADJ	ADJ	_	1	xcomp	_	TokenRange=6:16
3	de	_	ADP	ADP	_	7	mark	_	TokenRange=17:19
4	que	que	CCONJ	CONJ	_	7	mark	_	TokenRange=20:23
5	ele	_	PRON	PRON	_	7	nsubj	_	TokenRange=24:27
6	me	_	PRON	PRON	_	7	obj	_	TokenRange=28:30
7	gravou	gravar	VERB	VERB	_	2	nmod	_	TokenRange=31:37
8	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=38:43
9	gilmar	gilmar	NOUN	NOUN	_	8	obj	_	TokenRange=44:50
10	mendes	_	NOUN	NOUN	_	9	flat	_	TokenRange=51:57
11	sobre	_	ADP	ADP	_	12	case	_	TokenRange=58:63
12	joesley	_	NOUN	NOUN	_	9	nmod	_	TokenRange=64:71
13	batista	batista	ADJ	ADJ	_	12	flat	_	TokenRange=72:79
14	o	o	DET	DET	_	15	det	_	TokenRange=80:81
15	ministro	ministro	NOUN	NOUN	_	42	nsubj	_	TokenRange=82:90
16-17	do	_	_	_	_	_	_	_	TokenRange=91:93
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	stf	_	NOUN	NOUN	_	15	nmod	_	TokenRange=94:97
19	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=98:103
20	a	o	DET	DET	_	21	det	_	TokenRange=104:105
21	revista	revista	NOUN	NOUN	_	19	nsubj	_	TokenRange=106:113
22	veja	ver	VERB	VERB	_	19	ccomp	_	TokenRange=114:118
23	que	que	CCONJ	CONJ	_	24	mark	_	TokenRange=119:122
24	esta	_	VERB	VERB	_	19	ccomp	_	TokenRange=123:127
25	quase	quase	ADV	ADV	_	26	advmod	_	TokenRange=128:133
26	certo	certo	ADJ	ADJ	_	24	xcomp	_	TokenRange=134:139
27	de	_	ADP	ADP	_	32	mark	_	TokenRange=140:142
28	que	que	CCONJ	CONJ	_	32	mark	_	TokenRange=143:146
29	joesley	_	NOUN	NOUN	_	32	nsubj	_	TokenRange=147:154
30	batista	batista	ADJ	ADJ	_	29	amod	_	TokenRange=155:162
31	o	_	PRON	PRON	_	32	obj	_	TokenRange=163:164
32	gravou	gravar	VERB	VERB	_	26	nmod	_	TokenRange=165:171
33	durante	_	ADP	ADP	_	35	case	_	TokenRange=172:179
34	um	um	DET	DET	_	35	det	_	TokenRange=180:182
35	encontro	encontro	NOUN	NOUN	_	32	nmod	_	TokenRange=183:191
36	ocorrido	ocorrer	VERB	VERB	_	35	acl	_	TokenRange=192:200
37	em	em	ADP	ADP	_	38	case	_	TokenRange=201:203
38	abril	_	PROPN	PNOUN	_	36	nmod	_	TokenRange=204:209
39	deste	_	ADP	ADP	_	40	case	_	TokenRange=210:215
40	ano	ano	NOUN	NOUN	_	38	nmod	_	TokenRange=216:219
41	mendes	_	ADJ	ADJ	_	40	amod	_	TokenRange=220:226
42	recebeu	receber	VERB	VERB	_	127	ccomp	_	TokenRange=227:234
43	o	o	DET	DET	_	44	det	_	TokenRange=235:236
