# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mitou suzana vieira da lacrada em deputado lider que queria tirar selfie lider que lider traduzindo a frase acima artistas foram protestar contra a venda da amazonia suzana vieira alessandra negrini cristiane torloni paula lavigne luiz fernando guimaraes maria gadu e arlete sales estavam acompanhados de ativistas de organizacoes de defesa ambiental e lideres indigenas deputado quis tirar selfie o deputado baiano jose rocha lider do pr tentou tentou tentou tirar uma foto ao lado da atriz susana vieira e nao conseguiu um assessor do politico disse para a atriz assessor dona suzana poderia tirar uma foto aqui com o nosso lider suzana lider que lider lider de que e do psol da rede assessor nao e um lider do pr nosso partido e tranquilo suzana querido ninguem aqui e tranquilo so o presidente temer que deve tomar um frontal calmante maravilhoso suzana vieira lacrou
1	mitou	mitar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	suzana	suzano	NOUN	NOUN	_	1	obj	_	TokenRange=6:12
3	vieira	vieiro	ADJ	ADJ	_	2	amod	_	TokenRange=13:19
4-5	da	_	_	_	_	_	_	_	TokenRange=20:22
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	lacrada	lacrada	NOUN	NOUN	_	2	nmod	_	TokenRange=23:30
7	em	em	ADP	ADP	_	8	case	_	TokenRange=31:33
8	deputado	deputado	NOUN	NOUN	_	1	nmod	_	TokenRange=34:42
9	lider	lider	ADJ	ADJ	_	8	amod	_	TokenRange=43:48
10	que	_	PRON	PRON	_	11	nsubj	_	TokenRange=49:52
11	queria	querer	VERB	VERB	_	8	acl:relcl	_	TokenRange=53:59
12	tirar	tirar	VERB	VERB	_	11	xcomp	_	TokenRange=60:65
13	selfie	selfie	NOUN	NOUN	_	12	obj	_	TokenRange=66:72
14	lider	lider	NOUN	NOUN	_	13	appos	_	TokenRange=73:78
15	que	_	PRON	PRON	_	16	det	_	TokenRange=79:82
16	lider	lider	NOUN	NOUN	_	14	appos	_	TokenRange=83:88
17	traduzindo	traduzir	VERB	VERB	_	14	acl	_	TokenRange=89:99
18	a	o	DET	DET	_	19	det	_	TokenRange=100:101
19	frase	frase	NOUN	NOUN	_	17	obj	_	TokenRange=102:107
20	acima	acima	ADV	ADV	_	19	advmod	_	TokenRange=108:113
21	artistas	artista	NOUN	NOUN	_	23	nsubj	_	TokenRange=114:122
22	foram	_	AUX	AUX	_	23	aux	_	TokenRange=123:128
23	protestar	protestar	VERB	VERB	_	2	acl:relcl	_	TokenRange=129:138
24	contra	_	ADP	ADP	_	26	case	_	TokenRange=139:145
25	a	o	DET	DET	_	26	det	_	TokenRange=146:147
26	venda	venda	NOUN	NOUN	_	23	nmod	_	TokenRange=148:153
27-28	da	_	_	_	_	_	_	_	TokenRange=154:156
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	amazonia	amazonia	NOUN	NOUN	_	26	nmod	_	TokenRange=157:165
30	suzana	suzano	ADJ	ADJ	_	23	amod	_	TokenRange=166:172
31	vieira	vieira	NOUN	NOUN	_	32	appos	_	TokenRange=173:179
32	alessandra	alessandra	NOUN	NOUN	_	23	appos	_	TokenRange=180:190
33	negrini	_	ADJ	NOUN	_	32	amod	_	TokenRange=191:198
34	cristiane	cristiane	NOUN	NOUN	_	32	appos	_	TokenRange=199:208
35	torloni	_	NOUN	NOUN	_	36	flat	_	TokenRange=209:216
36	paula	paula	NOUN	NOUN	_	32	appos	_	TokenRange=217:222
