# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = baixaria senadores do pt tumultuam sessao e agem como criancas no jardim de infancia esta dando nojo de acompanhar a comissao do impeachment que ocorre agora no senado os senadores petistas lindberg farias vanessa graziotin e gleisi hoffmann nao deixam ninguem falar sao mal educados despreparados e so estao ali para tumultuar o andamento do processo durante varios momentos podemos ver o sorriso sarcastico da senadora gleisi ela se diverte com a confusao esta se lixando para o futuro do pais parecem criancas do maternal descontroladas as criancas que me desculpem pela comparacao a sorte e que a professora ana amelia que esta comandando a sessao neste momento sabe muito bem como lidar com as criancinhas rebeldes assista ao vivo leia tambem
1	baixaria	baixar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	senadores	senador	NOUN	NOUN	_	1	nsubj	_	TokenRange=9:18
3-4	do	_	_	_	_	_	_	_	TokenRange=19:21
3	de	de	ADP	ADP	_	5	case	_	_
4	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	5	det	_	_
5	pt	_	NOUN	NOUN	_	2	nmod	_	TokenRange=22:24
6	tumultuam	tumultuar	VERB	VERB	_	1	ccomp	_	TokenRange=25:34
7	sessao	sessao	NOUN	NOUN	_	6	obj	_	TokenRange=35:41
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=42:43
9	agem	agir	VERB	VERB	_	6	conj	_	TokenRange=44:48
10	como	como	ADP	ADP	_	11	case	_	TokenRange=49:53
11	criancas	crianca	NOUN	NOUN	_	9	nmod	_	TokenRange=54:62
12-13	no	_	_	_	_	_	_	_	TokenRange=63:65
12	em	em	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	jardim	jardim	NOUN	NOUN	_	9	nmod	_	TokenRange=66:72
15	de	de	ADP	ADP	_	16	case	_	TokenRange=73:75
16	infancia	infancia	NOUN	NOUN	_	14	nmod	_	TokenRange=76:84
17	esta	_	PRON	PRON	_	18	nsubj	_	TokenRange=85:89
18	dando	dar	VERB	VERB	_	9	acl	_	TokenRange=90:95
19	nojo	nojo	NOUN	NOUN	_	18	obj	_	TokenRange=96:100
20	de	_	ADP	ADP	_	21	mark	_	TokenRange=101:103
21	acompanhar	acompanhar	VERB	VERB	_	19	nmod	_	TokenRange=104:114
22	a	o	DET	DET	_	23	det	_	TokenRange=115:116
23	comissao	comissao	NOUN	NOUN	_	21	obj	_	TokenRange=117:125
24-25	do	_	_	_	_	_	_	_	TokenRange=126:128
24	de	de	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	impeachment	impeachment	NOUN	NOUN	_	23	nmod	_	TokenRange=129:140
27	que	_	PRON	PRON	_	28	nsubj	_	TokenRange=141:144
28	ocorre	ocorrer	VERB	VERB	_	23	acl:relcl	_	TokenRange=145:151
29	agora	agora	ADV	ADV	_	28	advmod	_	TokenRange=152:157
30-31	no	_	_	_	_	_	_	_	TokenRange=158:160
30	em	em	ADP	ADP	_	32	case	_	_
31	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	32	det	_	_
32	senado	senado	NOUN	NOUN	_	28	nmod	_	TokenRange=161:167
33	os	o	DET	DET	_	34	det	_	TokenRange=168:170
34	senadores	senador	NOUN	NOUN	_	47	nsubj	_	TokenRange=171:180
35	petistas	petista	ADJ	ADJ	_	34	amod	_	TokenRange=181:189
36	lindberg	_	NOUN	NOUN	_	34	appos	_	TokenRange=190:198
37	farias	faria	ADJ	ADJ	_	36	amod	_	TokenRange=199:205
38	vanessa	_	NOUN	NOUN	_	34	appos	_	TokenRange=206:213
39	graziotin	_	NOUN	NOUN	_	38	flat	_	TokenRange=214:223
40	e	e	CCONJ	CONJ	_	41	cc	_	TokenRange=224:225
41	gleisi	_	NOUN	NOUN	_	38	conj	_	TokenRange=226:232
42	hoffmann	hoffmann	ADJ	ADJ	_	41	amod	_	TokenRange=233:241
43	nao	nao	ADV	ADV	Polarity=Neg	44	advmod	_	TokenRange=242:245
44	deixam	deixar	VERB	VERB	_	18	aux	_	TokenRange=246:252
