# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = deu ruim pedro correa cita lula e seu advogado em audiencia com sergio moro pedro correa exdeputado pelo pp criou uma sinuca de bico para o advogado jose roberto batochio batochio alem de ser advogado de lula tambem e exdeputado em seu depoimento a sergio moro no caso do triplex de lula ele disse fomos ao presidente lula que era candidato a reeleicao quem faz politica o dr jose roberto batochio sabe o que e isso meu companheiro na camara dos deputados fomos membros da mesma comissao ele sabe que quando chega na eleicao voce procura o candidato majoritario para fazer a despesa do partido e como o candidato majoritario era o lula fomos la atras de dinheiro de acordo com correa lula teria dito voces nao podem reclamar porque o paulinho paulo roberto costa me disse que voces estao muito bem amparados financeiramente e vao fazer uma eleicao tranquila veja a partir do minuto 220 do video do antagonista claudio dantas
1	deu	dar	VERB	VERB	_	0	root	_	TokenRange=0:3
2	ruim	ruim	NOUN	NOUN	_	1	obj	_	TokenRange=4:8
3	pedro	pedro	NOUN	NOUN	_	1	nsubj	_	TokenRange=9:14
4	correa	correa	NOUN	NOUN	_	3	flat	_	TokenRange=15:21
5	cita	citar	VERB	VERB	_	1	parataxis	_	TokenRange=22:26
6	lula	_	NOUN	NOUN	_	5	obj	_	TokenRange=27:31
7	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=32:33
8	seu	_	DET	DET	_	9	det:poss	_	TokenRange=34:37
9	advogado	advogado	NOUN	NOUN	_	6	conj	_	TokenRange=38:46
10	em	em	ADP	ADP	_	11	case	_	TokenRange=47:49
11	audiencia	audiencia	NOUN	NOUN	_	21	nmod	_	TokenRange=50:59
12	com	com	ADP	ADP	_	13	case	_	TokenRange=60:63
13	sergio	sergio	NOUN	NOUN	_	11	nmod	_	TokenRange=64:70
14	moro	moro	NOUN	NOUN	_	13	flat	_	TokenRange=71:75
15	pedro	pedro	NOUN	NOUN	_	21	nsubj	_	TokenRange=76:81
16	correa	correa	ADJ	ADJ	_	15	flat	_	TokenRange=82:88
17	exdeputado	exdeputado	NOUN	NOUN	_	21	nsubj	_	TokenRange=89:99
18-19	pelo	_	_	_	_	_	_	_	TokenRange=100:104
18	por	por	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	pp	_	NOUN	NOUN	_	17	nmod	_	TokenRange=105:107
21	criou	criar	VERB	VERB	_	1	conj	_	TokenRange=108:113
22	uma	um	DET	DET	_	23	det	_	TokenRange=114:117
23	sinuca	sinuca	NOUN	NOUN	_	21	obj	_	TokenRange=118:124
24	de	de	ADP	ADP	_	25	case	_	TokenRange=125:127
25	bico	bico	NOUN	NOUN	_	23	nmod	_	TokenRange=128:132
26	para	para	ADP	ADP	_	28	case	_	TokenRange=133:137
27	o	o	DET	DET	_	28	det	_	TokenRange=138:139
28	advogado	advogado	NOUN	NOUN	_	21	nmod	_	TokenRange=140:148
29	jose	jose	NOUN	NOUN	_	28	appos	_	TokenRange=149:153
30	roberto	roberto	NOUN	NOUN	_	29	flat	_	TokenRange=154:161
31	batochio	_	NOUN	NOUN	_	29	flat	_	TokenRange=162:170
32	batochio	_	NOUN	NOUN	_	29	flat	_	TokenRange=171:179
33	alem	alem	ADV	ADV	_	21	advmod	_	TokenRange=180:184
34	de	_	ADP	ADP	_	36	mark	_	TokenRange=185:187
35	ser	ser	AUX	AUX	_	36	cop	_	TokenRange=188:191
36	advogado	advogado	NOUN	NOUN	_	33	nmod	_	TokenRange=192:200
37	de	de	ADP	ADP	_	38	case	_	TokenRange=201:203
38	lula	lula	NOUN	NOUN	_	36	nmod	_	TokenRange=204:208
39	tambem	tambem	ADV	ADV	_	21	advmod	_	TokenRange=209:215
40	e	e	CCONJ	CONJ	_	41	cc	_	TokenRange=216:217
41	exdeputado	exdeputado	NOUN	NOUN	_	21	conj	_	TokenRange=218:228
42	em	em	ADP	ADP	_	44	case	_	TokenRange=229:231
43	seu	_	DET	DET	_	44	det:poss	_	TokenRange=232:235
44	depoimento	depoimento	NOUN	NOUN	_	21	nmod	_	TokenRange=236:246
45	a	_	ADP	ADP	_	46	case	_	TokenRange=247:248
46	sergio	_	NOUN	NOUN	_	44	nmod	_	TokenRange=249:255
47	moro	moro	NOUN	NOUN	_	46	flat	_	TokenRange=256:260
48-49	no	_	_	_	_	_	_	_	TokenRange=261:263
48	em	em	ADP	ADP	_	50	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	50	det	_	_
