# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morofobia eis que aparece mais um petista pedindo para escapar de sergio moro o petista jaques wagner atraves de seus advogados pediu ao ministro do supremo tribunal federal edson fachin que as investigacoes contra ele detalhe crime de organizacao criminosa sejam arquivadas imediatamente a defesa alega que o exministro de lula e dilma e um dos cabecas do pt so foi citado em uma delacao premiada a do dono da utc ricardo pessoa quando a pgr enviou a denuncia ao supremo ainda sob o comando de janot foi pedido que as apuracoes sobre jaques wagner fossem enviadas ao juiz federal sergio moro da 13 vara em curitiba os advogados do petista tambem afirmam que o inquerito em relacao a seu cliente nao pode ser enviado a curitiba porque ele agora possui foro privilegiado wagner foi nomeado secretario de desenvolvimento economico da bahia no inicio deste ano e quer ser julgado pelo trf da 1 regiao com sede em brasilia e o maldito foro privilegiado dando aos politicos uma vida nababesca uma sugestao liberem ele do juiz sergio moro mandem o processo para o juiz marcelo bretas
1	morofobia	morofobia	NOUN	NOUN	_	0	root	_	TokenRange=0:9
2	eis	_	ADV	ADV	_	4	advmod	_	TokenRange=10:13
3	que	que	CCONJ	CONJ	_	4	mark	_	TokenRange=14:17
4	aparece	aparecer	VERB	VERB	_	1	acl:relcl	_	TokenRange=18:25
5	mais	mais	ADV	ADV	_	6	advmod	_	TokenRange=26:30
6	um	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=31:33
7	petista	petista	NOUN	NOUN	_	4	nsubj	_	TokenRange=34:41
8	pedindo	pedir	VERB	VERB	_	7	acl	_	TokenRange=42:49
9	para	_	ADP	ADP	_	10	mark	_	TokenRange=50:54
10	escapar	escapar	VERB	VERB	_	8	nmod	_	TokenRange=55:62
11	de	de	ADP	ADP	_	12	case	_	TokenRange=63:65
12	sergio	sergio	NOUN	NOUN	_	10	nmod	_	TokenRange=66:72
13	moro	moro	NOUN	NOUN	_	12	flat	_	TokenRange=73:77
14	o	o	DET	DET	_	15	det	_	TokenRange=78:79
15	petista	petista	NOUN	NOUN	_	22	nsubj	_	TokenRange=80:87
16	jaques	jaque	NOUN	NOUN	_	15	appos	_	TokenRange=88:94
17	wagner	_	PROPN	PNOUN	_	16	flat	_	TokenRange=95:101
18	atraves	atraves	ADV	ADV	_	22	advmod	_	TokenRange=102:109
19	de	de	ADP	ADP	_	21	case	_	TokenRange=110:112
20	seus	_	DET	DET	_	21	det:poss	_	TokenRange=113:117
21	advogados	advogado	NOUN	NOUN	_	18	nmod	_	TokenRange=118:127
22	pediu	pedir	VERB	VERB	_	4	parataxis	_	TokenRange=128:133
23-24	ao	_	_	_	_	_	_	_	TokenRange=134:136
23	a	a	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	ministro	ministro	NOUN	NOUN	_	22	iobj	_	TokenRange=137:145
26-27	do	_	_	_	_	_	_	_	TokenRange=146:148
26	de	de	ADP	ADP	_	29	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
28	supremo	supremo	ADJ	ADJ	_	29	amod	_	TokenRange=149:156
29	tribunal	tribunal	NOUN	NOUN	_	25	nmod	_	TokenRange=157:165
30	federal	federal	ADJ	ADJ	_	29	amod	_	TokenRange=166:173
31	edson	edson	NOUN	NOUN	_	25	appos	_	TokenRange=174:179
32	fachin	_	NOUN	NOUN	_	31	flat	_	TokenRange=180:186
33	que	que	CCONJ	CONJ	_	44	mark	_	TokenRange=187:190
34	as	o	DET	DET	_	35	det	_	TokenRange=191:193
35	investigacoes	investigacoe	NOUN	NOUN	_	147	nsubj:pass	_	TokenRange=194:207
36	contra	_	ADP	ADP	_	37	case	_	TokenRange=208:214
37	ele	_	PRON	PRON	_	38	nmod	_	TokenRange=215:218
38	detalhe	detalhar	VERB	VERB	_	126	acl:relcl	_	TokenRange=219:226
39	crime	crime	NOUN	NOUN	_	38	obj	_	TokenRange=227:232
40	de	de	ADP	ADP	_	41	case	_	TokenRange=233:235
41	organizacao	organizacao	NOUN	NOUN	_	39	nmod	_	TokenRange=236:247
42	criminosa	criminoso	ADJ	ADJ	_	41	amod	_	TokenRange=248:257
43	sejam	ser	AUX	AUX	_	44	aux:pass	_	TokenRange=258:263
44	arquivadas	arquivar	VERB	VERB	_	22	ccomp	_	TokenRange=264:274
45	imediatamente	imediatamente	ADV	ADV	_	44	advmod	_	TokenRange=275:288
46	a	o	DET	DET	_	47	det	_	TokenRange=289:290
47	defesa	_	NOUN	NOUN	_	44	nsubj:pass	_	TokenRange=291:297
48	alega	alegar	VERB	VERB	_	22	parataxis	_	TokenRange=298:303
49	que	que	CCONJ	CONJ	_	66	mark	_	TokenRange=304:307
50	o	o	DET	DET	_	51	det	_	TokenRange=308:309
51	exministro	exministro	NOUN	NOUN	_	66	nsubj:pass	_	TokenRange=310:320
52	de	de	ADP	ADP	_	53	case	_	TokenRange=321:323
53	lula	lula	NOUN	NOUN	_	51	nmod	_	TokenRange=324:328
54	e	e	CCONJ	CONJ	_	55	cc	_	TokenRange=329:330
55	dilma	dilma	NOUN	NOUN	_	53	conj	_	TokenRange=331:336
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=337:338
57	um	_	PRON	PRON	_	51	conj	_	TokenRange=339:341
58-59	dos	_	_	_	_	_	_	_	TokenRange=342:345
58	de	de	ADP	ADP	_	60	case	_	_
59	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	60	det	_	_
60	cabecas	cabeca	NOUN	NOUN	_	57	nmod	_	TokenRange=346:353
61-62	do	_	_	_	_	_	_	_	TokenRange=354:356
61	de	de	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	pt	pt	NOUN	NOUN	_	60	nmod	_	TokenRange=357:359
64	so	so	ADV	ADV	_	66	advmod	_	TokenRange=360:362
65	foi	_	AUX	AUX	_	66	aux:pass	_	TokenRange=363:366
66	citado	citar	VERB	VERB	_	48	ccomp	_	TokenRange=367:373
67	em	em	ADP	ADP	_	69	case	_	TokenRange=374:376
68	uma	um	DET	DET	_	69	det	_	TokenRange=377:380
69	delacao	delacao	NOUN	NOUN	_	66	nmod	_	TokenRange=381:388
70	premiada	premiar	VERB	VERB	_	69	acl	_	TokenRange=389:397
71	a	_	ADP	ADP	_	70	nmod	_	TokenRange=398:399
72-73	do	_	_	_	_	_	_	_	TokenRange=400:402
72	de	de	ADP	ADP	_	74	case	_	_
73	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	74	det	_	_
