# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = moro o corrupto e pior que o ladrao e tao maligno quanto o assassino nao existe crime mais serio do que a corrupcao outras ofensas violam uma lei enquanto a corrupcao ataca as fundacoes de todas as leis nao existe ofensa mais grave do que a daquele no qual e depositada tao sagrada confianca quem a vende para seu proprio ganho e enriquecimento e nao menos grave e a ofensa do pagador de propinas ele e pior que o ladrao porque o ladrao rouba o individuo enquanto que o agente corrupto saqueia uma cidade inteira ou o estado ele e tao maligno como o assassino porque o assassino pode somente tomar uma vida contra a lei enquanto o agente corrupto e a pessoa que o corrompe miram de forma semelhante o assassinato da propria comunidade
1	moro	morar	VERB	VERB	_	0	root	_	TokenRange=0:4
2	o	o	DET	DET	_	3	det	_	TokenRange=5:6
3	corrupto	corrupto	NOUN	NOUN	_	1	obj	_	TokenRange=7:15
4	e	e	CCONJ	CONJ	_	5	cc	_	TokenRange=16:17
5	pior	pior	ADJ	ADJ	_	3	conj	_	TokenRange=18:22
6	que	_	CCONJ	CONJ	_	8	case	_	TokenRange=23:26
7	o	o	DET	DET	_	8	det	_	TokenRange=27:28
8	ladrao	ladrao	NOUN	NOUN	_	5	nmod	_	TokenRange=29:35
9	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=36:37
10	tao	tao	ADV	ADV	_	11	advmod	_	TokenRange=38:41
11	maligno	maligno	ADJ	ADJ	_	5	conj	_	TokenRange=42:49
12	quanto	_	CCONJ	CONJ	_	16	mark	_	TokenRange=50:56
13	o	o	DET	DET	_	14	det	_	TokenRange=57:58
14	assassino	assassino	NOUN	NOUN	_	11	nmod	_	TokenRange=59:68
15	nao	nao	ADV	ADV	Polarity=Neg	16	advmod	_	TokenRange=69:72
16	existe	existir	VERB	VERB	_	1	advcl	_	TokenRange=73:79
17	crime	crime	NOUN	NOUN	_	16	nsubj	_	TokenRange=80:85
18	mais	mais	ADV	ADV	_	19	advmod	_	TokenRange=86:90
19	serio	serio	ADJ	ADJ	_	17	amod	_	TokenRange=91:96
20-21	do	_	_	_	_	_	_	_	TokenRange=97:99
20	de	de	ADP	ADP	_	24	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
22	que	_	ADP	ADP	_	20	fixed	_	TokenRange=100:103
23	a	o	DET	DET	_	24	det	_	TokenRange=104:105
24	corrupcao	corrupcao	NOUN	NOUN	_	27	nmod	_	TokenRange=106:115
25	outras	_	DET	DET	_	26	det	_	TokenRange=116:122
26	ofensas	ofensa	NOUN	NOUN	_	27	nsubj	_	TokenRange=123:130
27	violam	violar	VERB	VERB	_	1	conj	_	TokenRange=131:137
28	uma	um	DET	DET	_	29	det	_	TokenRange=138:141
29	lei	lei	NOUN	NOUN	_	27	obj	_	TokenRange=142:145
30	enquanto	_	CCONJ	CONJ	_	33	mark	_	TokenRange=146:154
31	a	o	DET	DET	_	32	det	_	TokenRange=155:156
32	corrupcao	corrupcao	NOUN	NOUN	_	33	nsubj	_	TokenRange=157:166
33	ataca	atacar	VERB	VERB	_	27	advcl	_	TokenRange=167:172
