# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acabou por 6 votos a 3 stf decide que renan calheiros continua na presidencia do senado o stf decidiu por maioria manter renan calheiros pmdbal na presidencia do senado a ressalva e de que renan fique impedido de substituir temer na presidencia da republica todos os ministros que cotaram ate agora concordaram que renan fica proibido de substituir o presidente da republica votaram a favor de manter renan na presidencia celso de mello teori zavascki dias toffoli luiz fux e ricardo lewandowski e a presidente carmen lucia votaram a favor do afastamento marco aurelio mello relator edson fachin e rosa weber valeu stf de hoje em diante vamos todos fugir dos oficiais de justica respeitar liminar pra que
1	acabou	acabar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	por	por	ADP	ADP	_	4	case	_	TokenRange=7:10
3	6	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=11:12
4	votos	voto	NOUN	NOUN	_	1	nmod	_	TokenRange=13:18
5	a	_	ADP	ADP	_	6	case	_	TokenRange=19:20
6	3	_	NUM	NUM	NumType=Card	4	nmod	_	TokenRange=21:22
7	stf	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=23:26
8	decide	decidir	VERB	VERB	_	1	parataxis	_	TokenRange=27:33
9	que	que	CCONJ	CONJ	_	12	mark	_	TokenRange=34:37
10	renan	_	NOUN	NOUN	_	12	nsubj	_	TokenRange=38:43
11	calheiros	calheiro	NOUN	NOUN	_	10	flat	_	TokenRange=44:53
12	continua	continuar	VERB	VERB	_	8	ccomp	_	TokenRange=54:62
13-14	na	_	_	_	_	_	_	_	TokenRange=63:65
13	em	em	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	presidencia	presidencia	NOUN	NOUN	_	12	nmod	_	TokenRange=66:77
16-17	do	_	_	_	_	_	_	_	TokenRange=78:80
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	senado	senado	NOUN	NOUN	_	15	nmod	_	TokenRange=81:87
19	o	o	DET	DET	_	20	det	_	TokenRange=88:89
20	stf	_	NOUN	NOUN	_	21	nsubj	_	TokenRange=90:93
21	decidiu	decidir	VERB	VERB	_	8	ccomp	_	TokenRange=94:101
22	por	por	ADP	ADP	_	23	case	_	TokenRange=102:105
23	maioria	maioria	NOUN	NOUN	_	21	nmod	_	TokenRange=106:113
24	manter	manter	VERB	VERB	_	21	xcomp	_	TokenRange=114:120
25	renan	renan	NOUN	NOUN	_	24	obj	_	TokenRange=121:126
26	calheiros	calheiro	NOUN	NOUN	_	25	flat	_	TokenRange=127:136
27	pmdbal	_	ADJ	ADJ	_	25	amod	_	TokenRange=137:143
28-29	na	_	_	_	_	_	_	_	TokenRange=144:146
28	em	em	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	presidencia	presidencia	NOUN	NOUN	_	24	nmod	_	TokenRange=147:158
31-32	do	_	_	_	_	_	_	_	TokenRange=159:161
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	senado	senado	NOUN	NOUN	_	30	nmod	_	TokenRange=162:168
34	a	o	DET	DET	_	35	det	_	TokenRange=169:170
35	ressalva	ressalva	NOUN	NOUN	_	21	obj	_	TokenRange=171:179
36	e	e	CCONJ	CONJ	_	40	cc	_	TokenRange=180:181
37	de	_	ADP	ADP	_	40	mark	_	TokenRange=182:184
38	que	que	CCONJ	CONJ	_	40	mark	_	TokenRange=185:188
39	renan	_	NOUN	NOUN	_	40	nsubj	_	TokenRange=189:194
40	fique	ficar	VERB	VERB	_	21	conj	_	TokenRange=195:200
41	impedido	impedido	ADJ	ADJ	_	40	xcomp	_	TokenRange=201:209
42	de	_	ADP	ADP	_	43	mark	_	TokenRange=210:212
43	substituir	substituir	VERB	VERB	_	41	nmod	_	TokenRange=213:223
44	temer	temer	NOUN	PNOUN	_	43	obj	_	TokenRange=224:229
45-46	na	_	_	_	_	_	_	_	TokenRange=230:232
45	em	em	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	presidencia	presidencia	NOUN	NOUN	_	43	nmod	_	TokenRange=233:244
48-49	da	_	_	_	_	_	_	_	TokenRange=245:247
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	republica	_	NOUN	NOUN	_	47	nmod	_	TokenRange=248:257
51	todos	_	DET	DET	_	53	det	_	TokenRange=258:263
52	os	o	DET	DET	_	53	det	_	TokenRange=264:266
53	ministros	ministro	NOUN	NOUN	_	70	nsubj	_	TokenRange=267:276
54	que	_	PRON	PRON	_	55	nsubj	_	TokenRange=277:280
