# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na espanha messi e condenado a 21 meses de prisao por fraude fiscal lionel messi seu pai jorge horacio messi foram condenados a 21 meses de prisao por crime fiscal na espanha o jogador e seu pai utilizavam empresas em paraisos fiscais para burlar a receita espanhola de acordo com o processo ambos sonegaram 4 1 milhoes de euros em impostos messi foi considerado culpado de tres acusacoes de fraude fiscal disse o tribunal em comunicado horacio messi pai do jogador tambem foi condenado pelos mesmos crimes a lei espanhola permite que uma sentenca de prisao menor que dois anos possa ser servida sob condicional o que significa que messi e seu pai provavelmente nao irao a prisao messi tera que pagar uma multa de 2 milhoes de euros e seu pai 1 5 milhao pelos crimes cabe recurso contra a sentenca junto a suprema corte da espanha
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	espanha	_	NOUN	NOUN	_	6	nmod	_	TokenRange=3:10
4	messi	_	NOUN	NOUN	_	6	nsubj:pass	_	TokenRange=11:16
5	e	e	CCONJ	CONJ	_	6	aux:pass	_	TokenRange=17:18
6	condenado	condenar	VERB	VERB	_	0	root	_	TokenRange=19:28
7	a	_	ADP	ADP	_	9	case	_	TokenRange=29:30
8	21	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=31:33
9	meses	mês	NOUN	NOUN	_	6	nmod	_	TokenRange=34:39
10	de	de	ADP	ADP	_	11	case	_	TokenRange=40:42
11	prisao	prisao	NOUN	NOUN	_	9	nmod	_	TokenRange=43:49
12	por	por	ADP	ADP	_	13	case	_	TokenRange=50:53
13	fraude	fraude	NOUN	NOUN	_	6	nmod	_	TokenRange=54:60
14	fiscal	fiscal	ADJ	ADJ	_	13	amod	_	TokenRange=61:67
15	lionel	lionel	NOUN	NOUN	_	13	appos	_	TokenRange=68:74
16	messi	_	NOUN	NOUN	_	13	appos	_	TokenRange=75:80
17	seu	_	DET	DET	_	18	det:poss	_	TokenRange=81:84
18	pai	pai	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=85:88
19	jorge	jorge	NOUN	NOUN	_	18	appos	_	TokenRange=89:94
20	horacio	horacio	NOUN	NOUN	_	18	appos	_	TokenRange=95:102
21	messi	_	NOUN	NOUN	_	19	flat	_	TokenRange=103:108
22	foram	_	AUX	AUX	_	23	aux:pass	_	TokenRange=109:114
23	condenados	condenar	VERB	VERB	_	6	conj	_	TokenRange=115:125
24	a	_	ADP	ADP	_	26	case	_	TokenRange=126:127
25	21	_	NUM	NUM	NumType=Card	26	nummod	_	TokenRange=128:130
26	meses	mês	NOUN	NOUN	_	23	nmod	_	TokenRange=131:136
27	de	de	ADP	ADP	_	28	case	_	TokenRange=137:139
28	prisao	prisao	NOUN	NOUN	_	26	nmod	_	TokenRange=140:146
29	por	por	ADP	ADP	_	30	case	_	TokenRange=147:150
30	crime	crime	NOUN	NOUN	_	23	nmod	_	TokenRange=151:156
31	fiscal	fiscal	ADJ	ADJ	_	30	amod	_	TokenRange=157:163
32-33	na	_	_	_	_	_	_	_	TokenRange=164:166
