# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba quem e o presidenciavel que mais esta conquistando votos entre eleitores com ensino superior o instituto parana pesquisas surpreendeu os analistas politicos com a revelacao do presidenciavel que mais esta conquistando os eleitores com ensino superior o surpreendente resultado pode indicar uma reviravolta em todos os outros grupos o exministro do supremo tribunal federal joaquim barbosa e o preferido para as eleicoes presidenciais de 2018 entre eleitores com ensino superior e o que mostra um estudo inedito pelo instituto parana pesquisas segundo o levantamento barbosa tem 173 das intencoes de voto desta parcela da populacao lula vem em segundo com 161 e jair bolsonaro em terceiro com 145 em quarto aecio neves com 119 a pesquisa e surpreendente por revelar que o deputado jair bolsonaro tambem esta crescendo entre os eleitores com nivel superior antes seu crescimento so era percebido entre eleitores com escolaridade media e fundamental e importante destacar que bolsonaro tambem esta bem a frente de politicos que participaram de outras disputas eleitorais tais como dilma rousseff marina silva ciro gomes cristovam buarque e ronaldo caiado joaquim barbosa foi fortemente cotado para ser vicepresidente na chapa de marina silva pela rede sustentabilidade no entanto com sua ascensao vertiginosa ele pode vir como candidato a presidente e sem a companhia da ambientalista ja derrotada em duas eleicoes analistas politicos apontam articulacoes entre joaquim barbosa e sergio moro para virem juntos em uma chapa com chances de conquistar a eleicao em primeiro turno a pesquisa foi feita com 2002 eleitores e e estimulada isto e traz nomes apresentados pelo instituto
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	quem	_	PRON	PRON	_	20	nsubj	_	TokenRange=6:10
3	e	e	CCONJ	CONJ	_	5	cc	_	TokenRange=11:12
4	o	o	DET	DET	_	5	det	_	TokenRange=13:14
5	presidenciavel	_	NOUN	NOUN	_	2	conj	_	TokenRange=15:29
6	que	_	PRON	PRON	_	9	nsubj	_	TokenRange=30:33
7	mais	mais	ADV	ADV	_	9	advmod	_	TokenRange=34:38
8	esta	_	AUX	AUX	_	9	aux	_	TokenRange=39:43
9	conquistando	conquistar	VERB	VERB	_	5	acl:relcl	_	TokenRange=44:56
10	votos	voto	NOUN	NOUN	_	9	obj	_	TokenRange=57:62
11	entre	_	ADP	ADP	_	12	case	_	TokenRange=63:68
12	eleitores	eleitor	NOUN	NOUN	_	9	nmod	_	TokenRange=69:78
13	com	com	ADP	ADP	_	14	case	_	TokenRange=79:82
14	ensino	ensino	NOUN	NOUN	_	12	nmod	_	TokenRange=83:89
15	superior	superior	ADJ	ADJ	_	14	amod	_	TokenRange=90:98
16	o	o	DET	DET	_	17	det	_	TokenRange=99:100
17	instituto	instituto	NOUN	NOUN	_	20	nsubj	_	TokenRange=101:110
18	parana	parana	ADJ	ADJ	_	17	amod	_	TokenRange=111:117
19	pesquisas	pesquisa	NOUN	NOUN	_	17	appos	_	TokenRange=118:127
20	surpreendeu	surpreender	VERB	VERB	_	1	ccomp	_	TokenRange=128:139
21	os	o	DET	DET	_	22	det	_	TokenRange=140:142
22	analistas	analista	NOUN	NOUN	_	20	obj	_	TokenRange=143:152
23	politicos	politico	ADJ	ADJ	_	22	amod	_	TokenRange=153:162
24	com	com	ADP	ADP	_	26	case	_	TokenRange=163:166
25	a	o	DET	DET	_	26	det	_	TokenRange=167:168
26	revelacao	revelacao	NOUN	NOUN	_	20	nmod	_	TokenRange=169:178
27-28	do	_	_	_	_	_	_	_	TokenRange=179:181
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	presidenciavel	_	NOUN	NOUN	_	26	nmod	_	TokenRange=182:196
30	que	_	PRON	PRON	_	33	nsubj	_	TokenRange=197:200
31	mais	mais	ADV	ADV	_	33	advmod	_	TokenRange=201:205
32	esta	_	AUX	AUX	_	33	aux	_	TokenRange=206:210
33	conquistando	conquistar	VERB	VERB	_	29	acl:relcl	_	TokenRange=211:223
34	os	o	DET	DET	_	35	det	_	TokenRange=224:226
35	eleitores	eleitor	NOUN	NOUN	_	33	obj	_	TokenRange=227:236
36	com	com	ADP	ADP	_	37	case	_	TokenRange=237:240
37	ensino	ensino	NOUN	NOUN	_	33	nmod	_	TokenRange=241:247
38	superior	superior	ADJ	ADJ	_	37	amod	_	TokenRange=248:256
39	o	o	DET	DET	_	41	det	_	TokenRange=257:258
40	surpreendente	surpreendente	ADJ	ADJ	_	41	amod	_	TokenRange=259:272
41	resultado	resultado	NOUN	NOUN	_	43	nsubj	_	TokenRange=273:282
42	pode	_	AUX	AUX	_	43	aux	_	TokenRange=283:287
43	indicar	indicar	VERB	VERB	_	1	ccomp	_	TokenRange=288:295
44	uma	um	DET	DET	_	45	det	_	TokenRange=296:299
45	reviravolta	reviravolta	NOUN	NOUN	_	43	obj	_	TokenRange=300:311
46	em	em	ADP	ADP	_	50	case	_	TokenRange=312:314
47	todos	_	DET	DET	_	50	det	_	TokenRange=315:320
48	os	o	DET	DET	_	50	det	_	TokenRange=321:323
49	outros	_	DET	DET	_	50	det	_	TokenRange=324:330
50	grupos	grupo	NOUN	NOUN	_	45	nmod	_	TokenRange=331:337
51	o	o	DET	DET	_	52	det	_	TokenRange=338:339
52	exministro	exministro	NOUN	NOUN	_	43	nsubj	_	TokenRange=340:350
53-54	do	_	_	_	_	_	_	_	TokenRange=351:353
53	de	de	ADP	ADP	_	56	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
55	supremo	supremo	ADJ	ADJ	_	56	amod	_	TokenRange=354:361
56	tribunal	tribunal	NOUN	NOUN	_	52	nmod	_	TokenRange=362:370
57	federal	federal	ADJ	ADJ	_	56	amod	_	TokenRange=371:378
58	joaquim	joaquim	NOUN	NOUN	_	52	appos	_	TokenRange=379:386
59	barbosa	barbosa	NOUN	NOUN	_	58	flat	_	TokenRange=387:394
60	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=395:396
61	o	o	DET	DET	_	62	det	_	TokenRange=397:398
62	preferido	_	NOUN	NOUN	_	52	conj	_	TokenRange=399:408
63	para	para	ADP	ADP	_	65	case	_	TokenRange=409:413
64	as	o	DET	DET	_	65	det	_	TokenRange=414:416
65	eleicoes	eleicoe	NOUN	NOUN	_	62	nmod	_	TokenRange=417:425
66	presidenciais	presidencial	ADJ	ADJ	_	65	amod	_	TokenRange=426:439
67	de	de	ADP	ADP	_	68	case	_	TokenRange=440:442
68	2018	_	NUM	NUM	NumType=Card	65	nmod	_	TokenRange=443:447
69	entre	_	ADP	ADP	_	70	case	_	TokenRange=448:453
70	eleitores	eleitor	NOUN	NOUN	_	62	nmod	_	TokenRange=454:463
71	com	com	ADP	ADP	_	72	case	_	TokenRange=464:467
72	ensino	ensino	NOUN	NOUN	_	70	nmod	_	TokenRange=468:474
73	superior	superior	ADJ	ADJ	_	72	amod	_	TokenRange=475:483
74	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=484:485
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	TokenRange=486:487
76	que	_	PRON	PRON	_	77	nsubj	_	TokenRange=488:491
77	mostra	mostrar	VERB	VERB	_	257	conj	_	TokenRange=492:498
78	um	um	DET	DET	_	79	det	_	TokenRange=499:501
